save_1,save_2,save_3
9.91418335,0.011975098,0.438288574
9.974058838,0.013172607,0.30776001
10.04111938,0.058677979,0.352067871
10.01118164,0.0490979,0.343685303
9.952503662,0.003592529,0.500559082
9.951306152,0.055085449,0.417930908
9.968071289,0.077838135,0.384400635
9.905800781,0.019160156,0.447868652
9.982441406,0.017962646,0.482596436
9.988428955,0.05269043,0.328117676
9.935738525,0.045505371,0.413140869
9.924960938,0.05029541,0.431103516
9.944121094,-0.008382568,0.435893555
9.91418335,0.043110352,0.45744873
9.924960938,0.045505371,0.443078613
9.972861328,0.059875488,0.40835083
9.926158447,0.047900391,0.391585693
9.975256348,0.031135254,0.441881104
9.995614014,0.053887939,0.398770752
9.974058838,0.044307861,0.427510986
10.00040405,0.028740234,0.335302734
9.936936035,0.089813232,0.420325928
10.00040405,0.079035645,0.447868652
10.01597168,0.05269043,0.343685303
10.0435144,0.073048096,0.247884521
9.950108643,0.014370117,0.452658691
9.96567627,0.05269043,0.445473633
9.886640625,-0.014370117,0.529299316
9.936936035,0.077838135,0.337697754
9.948911133,-0.005987549,0.364042969
9.96567627,0.031135254,0.376018066
9.975256348,0.040715332,0.395178223
10.07225464,0.105380859,0.340092773
9.916578369,0.092208252,0.467028809
9.952503662,0.108973389,0.438288574
9.928553467,0.05269043,0.428708496
9.946516113,0.05029541,0.464633789
9.951306152,0.087418213,0.427510986
9.892628174,0.043110352,0.45744873
9.966873779,0.059875488,0.433498535
9.893825684,0.044307861,0.50894165
9.944121094,0.063468018,0.547261963
10.01357666,0.017962646,0.295784912
9.945318604,0.076640625,0.444276123
10.00399658,0.025147705,0.35805542
9.978848877,0.014370117,0.352067871
9.981243896,0.073048096,0.439486084
9.992021484,0.057480469,0.362845459
9.971663818,0.045505371,0.373623047
9.982441406,0.062270508,0.392783203
9.968071289,0.017962646,0.35805542
9.984836426,0.079035645,0.380808105
9.974058838,0.076640625,0.445473633
9.933343506,0.077838135,0.464633789
9.954898682,0.057480469,0.362845459
10.03992188,0.039517822,0.350870361
9.999206543,0.043110352,0.383203125
9.926158447,0.089813232,0.526904297
9.901010742,0.068258057,0.465831299
9.917775879,0.033530273,0.335302734
9.990823975,0.065863037,0.362845459
9.932145996,0.040715332,0.489781494
9.942923584,0.074245605,0.428708496
9.96447876,-0.003592529,0.401165771
9.909393311,0.00239502,0.547261963
9.887838135,0.021555176,0.446671143
9.932145996,0.073048096,0.414338379
9.996811523,0.022752686,0.378413086
9.849517822,0.029937744,0.431103516
9.945318604,0.074245605,0.398770752
9.941726074,0.085023193,0.437091064
9.944121094,0.073048096,0.352067871
9.981243896,0.057480469,0.453856201
10.02914429,0.013172607,0.331710205
9.909393311,0.007185059,0.404758301
10.02195923,0.088615723,0.299377441
10.00160156,0.045505371,0.384400635
10.00399658,0.039517822,0.382005615
9.956096191,0.085023193,0.405955811
9.847122803,-0.021555176,0.571212158
9.975256348,0.027542725,0.415535889
10.01237915,0.043110352,0.282612305
9.942923584,0.098195801,0.428708496
9.999206543,0.045505371,0.390388184
9.978848877,-0.00239502,0.374820557
9.916578369,0.074245605,0.338895264
9.942923584,0.05149292,0.449066162
10.03752686,0.057480469,0.317340088
9.884245605,0.076640625,0.518521729
10.00160156,0.080233154,0.360450439
9.972861328,0.038320313,0.439486084
10.00399658,0.022752686,0.374820557
9.96328125,0.05149292,0.423918457
10.00758911,0.019160156,0.41074585
9.976453857,-0.009580078,0.347277832
9.981243896,0.062270508,0.368833008
9.966873779,0.10059082,0.465831299
9.954898682,0.020357666,0.35925293
10.01237915,0.05149292,0.300574951
9.978848877,0.068258057,0.41074585
9.994416504,0.089813232,0.286204834
9.922565918,-0.029937744,0.428708496
9.950108643,0.107775879,0.397573242
10.0063916,0.040715332,0.334105225
9.987231445,0.064665527,0.35925293
10.00160156,0.023950195,0.402363281
9.987231445,0.058677979,0.427510986
9.917775879,0.082628174,0.427510986
9.935738525,0.025147705,0.342487793
9.969268799,-0.007185059,0.349672852
9.974058838,0.046702881,0.487386475
9.995614014,0.022752686,0.341290283
9.933343506,0.044307861,0.522114258
9.866282959,0.05149292,0.499361572
10.00160156,0.063468018,0.404758301
9.935738525,0.019160156,0.514929199
9.930948486,0.032332764,0.470621338
9.96328125,0.053887939,0.488583984
9.987231445,0.074245605,0.393980713
9.984836426,0.039517822,0.319735107
9.958491211,0.033530273,0.446671143
10.00758911,0.062270508,0.380808105
9.953701172,0.131726074,0.445473633
9.994416504,0.026345215,0.329315186
9.976453857,0.023950195,0.312550049
10.01956421,0.061072998,0.302969971
10.01477417,0.037122803,0.320932617
10.02555176,0.034727783,0.415535889
10.01357666,0.0490979,0.354462891
9.939331055,0.035925293,0.417930908
9.959688721,0.032332764,0.464633789
10.00998413,0.081430664,0.302969971
9.971663818,0.082628174,0.431103516
9.945318604,0.039517822,0.45864624
