save_1,save_2,save_3
9.881850586,0.034727783,0.489781494
9.974058838,0.065863037,0.484991455
9.989626465,0.073048096,0.395178223
9.950108643,0.05149292,0.455053711
9.983638916,0.076640625,0.455053711
9.990823975,0.069455566,0.378413086
9.932145996,0.061072998,0.365240479
9.958491211,0.014370117,0.439486084
10.02315674,0.032332764,0.449066162
9.950108643,0.093405762,0.46104126
9.952503662,0.028740234,0.329315186
10.01357666,0.013172607,0.317340088
9.951306152,0.05269043,0.45864624
9.984836426,0.035925293,0.416733398
9.995614014,0.046702881,0.366437988
9.96328125,0.05269043,0.440683594
9.96447876,0.067060547,0.476608887
9.96208374,0.057480469,0.435893555
10.00279907,0.016765137,0.396375732
9.946516113,0.020357666,0.445473633
9.91418335,0.070653076,0.433498535
9.941726074,0.096998291,0.390388184
9.977651367,0.044307861,0.480201416
10.03273682,0.0490979,0.322130127
9.975256348,0.00119751,0.292192383
9.933343506,0.092208252,0.425115967
9.987231445,0.073048096,0.294587402
9.924960938,0.058677979,0.336500244
10.0183667,0.029937744,0.395178223
10.04231689,0.014370117,0.481398926
10.04590942,0.059875488,0.382005615
9.933343506,-0.019160156,0.434696045
9.880653076,0.088615723,0.380808105
9.942923584,0.107775879,0.422720947
9.91059082,0.105380859,0.45744873
9.935738525,0.082628174,0.450263672
9.994416504,0.067060547,0.432301025
9.947713623,-0.011975098,0.385598145
9.969268799,0.086220703,0.427510986
9.905800781,0.059875488,0.435893555
9.929750977,0.081430664,0.380808105
10.06387207,0.040715332,0.398770752
10.04710693,0.031135254,0.337697754
9.886640625,0.110170898,0.354462891
10.00758911,0.019160156,0.317340088
9.938133545,0.086220703,0.389190674
9.986033936,0.027542725,0.35805542
9.945318604,0.065863037,0.371228027
9.91418335,0.074245605,0.349672852
9.954898682,0.081430664,0.343685303
9.994416504,0.055085449,0.352067871
10.04111938,0.059875488,0.383203125
9.897418213,0.026345215,0.56163208
9.96567627,0.053887939,0.401165771
10.00399658,0.068258057,0.368833008
9.980046387,0.05269043,0.440683594
9.932145996,0.009580078,0.470621338
9.917775879,0.082628174,0.495769043
9.871072998,0.059875488,0.530496826
9.972861328,0.053887939,0.425115967
9.986033936,0.027542725,0.432301025
10.01597168,0.019160156,0.392783203
9.970466309,0.032332764,0.443078613
9.96088623,0.05029541,0.447868652
9.987231445,0.05029541,0.3556604
9.981243896,0.044307861,0.45744873
9.930948486,0.035925293,0.438288574
9.971663818,-0.017962646,0.446671143
9.996811523,0.044307861,0.384400635
9.924960938,0.069455566,0.507744141
9.966873779,0.088615723,0.390388184
9.969268799,0.092208252,0.348475342
9.923763428,0.041912842,0.395178223
9.945318604,0.062270508,0.433498535
